addr,total,success,fail
0x0f91b9accca2838dbeee53f3aa555d426ad16f29,5,5,0
0x3b612a5b49e025a6e4ba4ee4fb1ef46d13588059,266,54,212
0x9040e237c3bf18347bb00957dc22167d0f2b999d,152,28,124
0x0fb69d1dc9954a7f60e83023916f2551e24f52fc,129,36,93
0x7030d581c078911af286f28fdb99034395f4d403,14,13,1
0xcc1704ba33ca3451452fcc3436eb451a3d11d1f4,83,83,0
0x2ae61706433a65c5776e7bcbc94c3ef7422f84db,87,62,25
0xfacb4bc7bfa5007d91095564e05918c82079befb,79,75,4
0x7a2002d85205e98065e3eef57a73eb75757fdc00,67,61,6
0x6e25c0ec1bea020f6cd46ec255d419a7f4334cfe,194,75,119
0x82628be9bde73b862e972793a151e7dea9e9249c,64,63,1
0xfc6fd61d2415ebfea98791517b6198d38bb4a659,95,70,25
0x0ef99fb40691ee202a386fbf857cac5aecc75a13,31,31,0
0x7581f8e289f00591818f6c467939da7f9ab5a777,85,44,41
0x5326a5cba96969868e1a03d38dfa46d0a283fe1f,56,55,1
0xc92090f070bf50eec26d849c88a68112f4f3d98e,387,292,95
0x04150f928c036810be42ee2e42c5a3b85561c3f7,270,106,164
0x5d843fa9495d23de997c394296ac7b4d721e841c,103,103,0
0x79a66c4b781add975f3858ffb2554f0c5e0ce9ef,97,28,69
0x1ffc950aa28f235a3245f88c4021b39160dc9294,104,90,14
0xd0242443f18586c389a1013539e93f3a7b27018c,50,20,30
0xab05cf7c6c3a288cd36326e4f7b8600e7268e344,34,34,0
0x3c99f2a4b366d46bcf2277639a135a6d1288eceb,358,336,22
0x749cda693c2f29bf894df5b7060034cb675ee631,200,114,86
0x6fb42a71b305dafb98688ba9fa76791342ad52a3,152,48,104
0xcbf60ab64d521874c800627c9e1395ad0b06bd38,251,24,227
0x27c70cd1946795b66be9d954418546998b546634,357,201,156
0x2b73ebc1e7a53bda495272b34b322a855130983e,167,167,0
0x4508401bade71ae75fe70c97fe585d734f975502,20,20,0
0x29af9d1d936955b17d850e09678022ba869f4ab8,295,295,0
